GEO_ID,NAME,S2401_C01_001E,S2401_C04_001E
45001,"Abbeville County, South Carolina",10030,4862
45003,"Aiken County, South Carolina",73293,35912
45005,"Allendale County, South Carolina",2563,1413
45007,"Anderson County, South Carolina",91536,43165
45009,"Bamberg County, South Carolina",4940,2524
45011,"Barnwell County, South Carolina",8329,3952
45013,"Beaufort County, South Carolina",77157,36491
45015,"Berkeley County, South Carolina",104717,49732
45017,"Calhoun County, South Carolina",6492,3400
45019,"Charleston County, South Carolina",207899,101304
45021,"Cherokee County, South Carolina",23714,11098
45023,"Chester County, South Carolina",13375,6836
45025,"Chesterfield County, South Carolina",18252,8277
45027,"Clarendon County, South Carolina",11397,5894
45029,"Colleton County, South Carolina",15785,7472
45031,"Darlington County, South Carolina",25486,12811
45033,"Dillon County, South Carolina",11414,5979
45035,"Dorchester County, South Carolina",75673,36379
45037,"Edgefield County, South Carolina",10544,4842
45039,"Fairfield County, South Carolina",9131,4836
45041,"Florence County, South Carolina",60114,30859
45043,"Georgetown County, South Carolina",25879,12895
45045,"Greenville County, South Carolina",258324,122261
45047,"Greenwood County, South Carolina",29777,14538
45049,"Hampton County, South Carolina",7145,3416
45051,"Horry County, South Carolina",148770,72563
45053,"Jasper County, South Carolina",11928,5731
45055,"Kershaw County, South Carolina",27977,13368
45057,"Lancaster County, South Carolina",41404,19671
45059,"Laurens County, South Carolina",28416,13873
45061,"Lee County, South Carolina",6084,3010
45063,"Lexington County, South Carolina",142059,67566
45065,"McCormick County, South Carolina",3134,1454
45067,"Marion County, South Carolina",10517,5245
45069,"Marlboro County, South Carolina",8729,4624
45071,"Newberry County, South Carolina",17222,8049
45073,"Oconee County, South Carolina",32370,14722
45075,"Orangeburg County, South Carolina",32981,17138
45077,"Pickens County, South Carolina",59910,27739
45079,"Richland County, South Carolina",198056,101940
45081,"Saluda County, South Carolina",8134,3720
45083,"Spartanburg County, South Carolina",150940,71188
45085,"Sumter County, South Carolina",42544,21601
45087,"Union County, South Carolina",11049,5683
45089,"Williamsburg County, South Carolina",11660,6255
45091,"York County, South Carolina",136528,65328